ph,do,sat,temp,conductivity,classification
7,5,61,20,1014,1
7,7,80,16,911,0
8,8,102,24,686,2
8,8,98,23,914,0
7,8,82,15,883,0
8,8,88,15,818,0
8,8,86,17,806,0
8,8,89,19,623,2
7,6,81,21,766,0
7,3,36,15,1308,1
7,7,82,16,814,0
8,7,78,17,966,0
7,3,36,15,272,2
7,7,70,13,843,0
7,7,79,16,717,2
7,6,67,16,669,2
8,8,90,17,867,0
7,8,84,12,907,0
8,8,87,14,806,0
8,8,87,14,807,0
8,7,77,15,644,2
7,5,54,15,1147,1
7,5,51,14,1154,1
7,7,76,15,771,0
7,6,67,16,834,0
7,6,75,21,804,0
7,5,58,19,686,2
7,6,76,22,864,0
7,6,76,22,865,0
7,8,86,14,918,0
7,7,87,19,800,0
8,6,83,23,606,2
7,5,64,21,1200,1
7,6,75,23,723,2
7,7,73,14,868,0
8,7,79,18,836,0
7,5,59,17,710,2
7,5,58,17,709,2
8,6,77,19,886,0
7,8,86,13,926,0
8,8,91,16,803,0
8,7,88,20,591,2
7,4,45,18,1443,1
8,7,80,19,823,0
7,6,70,15,859,0
8,7,79,20,850,0
7,5,56,19,701,2
7,4,54,19,701,2
8,6,80,21,851,0
7,7,80,15,870,0
8,8,89,17,768,0
8,7,89,21,609,2
7,6,72,21,783,0
7,6,75,21,636,2
